web-scraper-order,web-scraper-start-url,Character List,Character List-href,Name,Nationality,Ethnicity,Age,Gender,Born,Died,Eye color,Hair color,Skin color,Love interest,Allies,Enemies,Weapon of choice,Fighting styles,Profession,Position,Predecessor,Successor,Affiliation,First appearance,Last appearance,Voiced by
"https://avatar.fandom.com/wiki/Zirin","Zirin","","","","Woman","","","Dark","Brown","Tan","","Fire Warriors, Azula, Ukano","Kiyi","","","Fire Warrior","","","","Fire Warriors","Smoke and Shadow Part Three (only appearance)","",""
"https://avatar.fandom.com/wiki/Zimo","Zimo","","","","Woman","","","","","","","Xinyi, Nalu, Lana, Xiao","Fire Nation military","Fire","Firebending","Soldier (formerly)","","","","Fire Nation military (formerly)Long Feng's network (loosely)Royal Fire Academy for Girls (formerly)","Adventure Booklet 3: Ash & Steel (only appearance)","",""
"https://avatar.fandom.com/wiki/Zianda","Zianda","","","","Man","","","","","","","Sozin, Mio, Unzai, Sozin's father","Zeisan, Guiding Wind, Rioshon, Ezra, Boin, Nyanchi, Zeebee","Fire","Firebending","Minister","Fire Nation minister""Right hand"" of the Fire LordFirebending masterFire Nation noble","","","","An Urgent Request (only appearance)","",""
"https://avatar.fandom.com/wiki/Zhao","Zhao","","","","Man","","","Amber","Gray (dark brown in youth)","Light","","Ozai, Fire Nation Army, Fire Nation, Fire Nation Navy, Yuyan Archers","Team Avatar, Zuko, Jeong Jeong, La, Tui, Yue, Wan Shi Tong, Water Tribes, Earth Kingdom","Fire","Firebending","Military official","Firebending master[2]Commander of Ketu Harbor[2] (formerly)Admiral[3] (formerly)Prisoner in the Fog of Lost Souls[4]","","","Fire Nation Navy","""The Southern Air Temple""","Avatar: Generations","Jason Isaacs"
"https://avatar.fandom.com/wiki/Zeisan","Zeisan","","","","Woman","","","Amber","Black","Light","Rioshon (romantic interest)Khandro (fiancé)","Zeebee","Sozin","","Chi-blocking","","Princess of the Fire NationMartial arts master","","","Fire Nation Royal Family (formerly)Guiding Wind","Avatar Legends: The Roleplaying Game - Core Book","An Urgent Request",""
"https://avatar.fandom.com/wiki/Yuzhen_Sr.","Yuzhen Sr.","","","","Man","","","","","","","Sparrowkeet Air","Qian Yu","","","Businessman","Chief Executive Officer of Sparrowkeet Air","","","Fire Nation (formerly)","Adventure Booklet 4: Air & Wind (only appearance)","",""
"https://avatar.fandom.com/wiki/Yuzhen_Jr.","Yuzhen Jr.","","","","Man","","","","","","","Sparrowkeet Air","","","","Businessman","President of Sparrowkeet Air","","","Sparrowkeet Air","Adventure Booklet 4: Air & Wind (only appearance)","",""
"https://avatar.fandom.com/wiki/Yun%27s_impostor","Yun's impostor","","","","Man","","","Golden[1]","Brown[2]","Light[3]","His wife","Fire Lord Zoryu, Avatar Kyoshi","His debtors","","","","","","","","""Shapes of Life and Death"" (only appearance)","",""
"https://avatar.fandom.com/wiki/Yon_Rha%27s_mother","Yon Rha's mother","","","","Woman","","","","White","","","Fire Nation","","","","","","","","Fire Nation","""The Southern Raiders"" (only appearance)","","Bonnie McNeil"
"https://avatar.fandom.com/wiki/Yon_Rha","Yon Rha","","","","Man","","","Dark brown","Gray (formerly black)","","","Southern Raiders, Fire Nation","Kya, Katara, Zuko, Southern Water Tribe","Fire","Firebending","Southern Raider (retired)","Leader of the Southern Raiders (retired)","","Southern Raiders commander","Southern Raiders (formerly)Fire Nation","""The Southern Raiders"" (only appearance)","","Tim Dang"
"https://avatar.fandom.com/wiki/Yinzin","Yinzin","","","","Man","","","","","","","","","Smoke bombs","","Historian","","","","","Avatar Legends: The Roleplaying Game - Quickstart (only appearance)","",""
"https://avatar.fandom.com/wiki/Yim","Yim","","","","Man","","","","Gray","","","Korra, White Lotus leader, Katara","","Fire","Firebending","Firebending master","Avatar's firebending teacher","Zuko (as the Avatar's firebending master)","","","""Welcome to Republic City""","""Weaver's Ball""",""
